,title,views,date_time,video_link,thumbnail_link
0,Strategies To Find A Job FAST! | Job Hunt Tips | How People Get Good Jobs | GeeksforGeeks,481 views,21 hours ago,https://www.youtube.com/watch?v=rFXVb2-Rj5k,https://i.ytimg.com/vi/rFXVb2-Rj5k/hqdefault.jpg
1,Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,1.5K views,1 day ago,https://www.youtube.com/watch?v=NjUteXHoOXk,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
2,Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,724 views,6 days ago,https://www.youtube.com/watch?v=FAluaVzy4VM,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
3,GeeksforGeeks Bloopers!! The Making of Quality Content,569 views,7 days ago,https://www.youtube.com/watch?v=zakV-wfdPYM,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
4,APTITUDE & REASONING | GATE 2024 Ultimate Revision | PYQ and Sample Questions GATE,1.3K views,8 days ago,https://www.youtube.com/watch?v=CaAjf_RE9ew,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
5,Meet The Youngest CTO Of India! | GeeksforGeeks,3.3K views,13 days ago,https://www.youtube.com/watch?v=5YlR3yZV9bE,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
6,Top 3 Things College Students FEAR!!,49K views,2 weeks ago,https://www.youtube.com/watch?v=mOkFtGLA9q8,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
7,DATA SCIENCE PROJECTS Made Easy with COLAB AI | Generative AI | GeeksforGeeks,835 views,2 weeks ago,https://www.youtube.com/watch?v=Gt5ZkoFrgyE,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
8,Top VS Code EXTENSIONS and SHORTCUTS to Code Faster! GeeksforGeeks,948 views,3 weeks ago,https://www.youtube.com/watch?v=l-LJucxS8Mc,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
9,LINKED LIST PRACTICE QUESTIONS | Operations on Linked List | DSA Problems | GeeksforGeeks,1K views,4 weeks ago,https://www.youtube.com/watch?v=TnV34Lfdk7k,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
